===== WPFI OUTPUT =====
dataset = D:\Phan-mem-huong-doi-tuong-main\src\data\chess.txt
input   = D:\Phan-mem-huong-doi-tuong-main\src\input.txt
MSUP=3  T=0.15  useExactTail=false
transactions=500
----------------------------------------------
Itemset	k	mu	pTail	avgW	score
{65, 71}	2	7.675955	0.982311	0.850108	0.835071
{36, 48}	2	122.165096	1.000000	0.834645	0.834645
{17, 24}	2	65.358974	1.000000	0.833401	0.833401
{34, 47}	2	25.297446	1.000000	0.832016	0.832016
{38, 7}	2	88.308822	1.000000	0.831701	0.831701
{34, 73}	2	19.510442	0.999999	0.828967	0.828966
{12, 48}	2	46.856471	1.000000	0.826282	0.826282
{36, 7}	2	120.335296	1.000000	0.825735	0.825735
{47}	1	51.204625	1.000000	0.824343	0.824343
{38, 72}	2	82.165278	1.000000	0.823509	0.823509
{32, 9}	2	18.070461	0.999997	0.821013	0.821011
{38, 71}	2	16.165074	0.999986	0.819789	0.819777
{73}	1	40.794148	1.000000	0.818245	0.818245
{36, 72}	2	110.767824	1.000000	0.817543	0.817543
{12, 7}	2	47.633245	1.000000	0.817372	0.817372
{48, 58}	2	119.674949	1.000000	0.814830	0.814830
{36, 71}	2	38.164339	1.000000	0.813823	0.813822
{17, 9}	2	109.993819	1.000000	0.812742	0.812742
{38, 65}	2	14.047857	0.999910	0.811746	0.811673
{17, 28}	2	36.161901	1.000000	0.811427	0.811427
{34, 38}	2	89.042879	1.000000	0.810558	0.810558
{42, 48}	2	115.950524	1.000000	0.810553	0.810553
{12, 72}	2	47.512696	1.000000	0.809180	0.809180
{71, 73}	2	6.723323	0.963533	0.838198	0.807632
{58, 7}	2	117.405410	1.000000	0.805920	0.805920
{36, 65}	2	19.979828	1.000000	0.805780	0.805780
{12, 71}	2	17.014509	0.999993	0.805460	0.805455
{15, 32}	2	9.457716	0.995691	0.808464	0.804980
{34, 36}	2	121.687837	1.000000	0.804592	0.804592
{38, 47}	2	20.390989	1.000000	0.802885	0.802884
{12, 32}	2	5.707086	0.923611	0.868107	0.801793
{42, 7}	2	118.295978	1.000000	0.801643	0.801643
{31, 48}	2	94.716273	1.000000	0.801529	0.801529
{15, 17}	2	76.970444	1.000000	0.800192	0.800192
{65, 73}	2	6.725505	0.963593	0.830156	0.799932
{24, 48}	2	71.011955	1.000000	0.799848	0.799848
{38, 73}	2	17.091777	0.999994	0.799835	0.799831
{58, 72}	2	108.517472	1.000000	0.797728	0.797728
{36, 47}	2	22.933018	1.000000	0.796919	0.796918
{12, 34}	2	45.021061	1.000000	0.796229	0.796229
{17, 23}	2	45.376162	1.000000	0.795327	0.795327
{58, 71}	2	35.407951	1.000000	0.794008	0.794008
{36, 73}	2	20.262350	1.000000	0.793870	0.793869
{42, 72}	2	105.320476	1.000000	0.793451	0.793451
{31, 7}	2	97.245988	1.000000	0.792619	0.792619
{17, 69}	2	6.394689	0.953495	0.829589	0.791009
{24, 7}	2	70.066542	1.000000	0.790938	0.790938
{42, 71}	2	40.564612	1.000000	0.789731	0.789730
{58, 65}	2	19.130365	0.999999	0.785966	0.785965
{34, 58}	2	116.386806	1.000000	0.784777	0.784777
{31, 72}	2	92.576495	1.000000	0.784427	0.784427
{12, 47}	2	8.939199	0.993457	0.788556	0.783396
{32, 68}	2	20.266446	1.000000	0.783176	0.783175
{24, 72}	2	55.363450	1.000000	0.782746	0.782746
{42, 65}	2	16.140848	0.999986	0.781688	0.781677
{38}	1	182.608954	1.000000	0.781426	0.781426
{31, 71}	2	31.813675	1.000000	0.780707	0.780706
{34, 42}	2	112.654942	1.000000	0.780500	0.780500
{32, 60}	2	18.902724	0.999999	0.780168	0.780167
{17, 51}	2	40.675290	1.000000	0.779913	0.779912
{48, 9}	2	121.243107	1.000000	0.779189	0.779189
{24, 71}	2	18.845388	0.999999	0.779026	0.779025
{32, 71}	2	4.682758	0.845959	0.920797	0.778957
{28, 48}	2	35.804169	1.000000	0.777874	0.777874
{47, 58}	2	28.077745	1.000000	0.777104	0.777104
{36, 38}	2	86.323902	1.000000	0.775460	0.775460
{17, 68}	2	100.501954	1.000000	0.774904	0.774904
{58, 73}	2	18.876620	0.999999	0.774055	0.774054
{42, 47}	2	22.355518	1.000000	0.772827	0.772826
{31, 65}	2	11.830306	0.999397	0.772664	0.772198
{17, 60}	2	115.530095	1.000000	0.771897	0.771897
{31, 34}	2	96.712195	1.000000	0.771476	0.771476
{24, 65}	2	20.631214	1.000000	0.770984	0.770983
{7, 9}	2	119.580014	1.000000	0.770279	0.770279
{24, 34}	2	69.269182	1.000000	0.769795	0.769795
{42, 73}	2	18.686571	0.999999	0.769778	0.769776
{36}	1	246.621653	1.000000	0.769494	0.769494
{28, 7}	2	38.739360	1.000000	0.768964	0.768964
{12, 38}	2	29.962108	1.000000	0.767098	0.767097
{15, 48}	2	75.715114	1.000000	0.766639	0.766639
{31, 47}	2	25.850360	1.000000	0.763803	0.763802
{10, 17}	2	8.355070	0.989590	0.771360	0.763330
{72, 9}	2	110.575233	1.000000	0.762087	0.762087
{23, 48}	2	50.947230	1.000000	0.761774	0.761774
{24, 47}	2	11.776919	0.999369	0.762122	0.761641
{12, 36}	2	45.304684	1.000000	0.761132	0.761132
{28, 72}	2	38.576638	1.000000	0.760772	0.760772
{31, 73}	2	12.038454	0.999494	0.760754	0.760369
{24, 73}	2	21.154974	1.000000	0.759073	0.759073
{71, 9}	2	35.816512	1.000000	0.758366	0.758366
{15, 7}	2	74.759576	1.000000	0.757729	0.757729
{38, 58}	2	88.226817	1.000000	0.755646	0.755646
{23, 7}	2	48.983446	1.000000	0.752863	0.752863
{12}	1	93.631116	1.000000	0.752769	0.752769
{38, 42}	2	84.167350	1.000000	0.751368	0.751368
{25, 32}	2	24.212536	1.000000	0.750860	0.750860
{65, 9}	2	17.214017	0.999994	0.750324	0.750320
{36, 58}	2	123.497069	1.000000	0.749680	0.749680
{15, 72}	2	70.893005	1.000000	0.749537	0.749537
{34, 9}	2	116.728982	1.000000	0.749136	0.749136
{28, 34}	2	36.152273	1.000000	0.747821	0.747821
{17, 55}	2	25.002924	1.000000	0.746515	0.746514
{48, 51}	2	43.655944	1.000000	0.746360	0.746360
{32, 66}	2	19.470509	0.999999	0.745873	0.745872
{15, 71}	2	24.739757	1.000000	0.745817	0.745817
{36, 42}	2	114.882579	1.000000	0.745402	0.745402
{23, 72}	2	59.195551	1.000000	0.744671	0.744671
{17, 25}	2	120.632244	1.000000	0.742589	0.742589
{31, 38}	2	69.328845	1.000000	0.742344	0.742344
{21, 32}	2	20.445543	1.000000	0.741800	0.741800
{47, 9}	2	28.493731	1.000000	0.741463	0.741462
{48, 68}	2	112.100957	1.000000	0.741351	0.741351
{12, 58}	2	48.208766	1.000000	0.741317	0.741317
{23, 71}	2	22.799522	1.000000	0.740952	0.740951
{24, 38}	2	54.004954	1.000000	0.740663	0.740663
{34, 69}	2	6.759486	0.964504	0.765983	0.738793
{73, 9}	2	19.650014	0.999999	0.738414	0.738413
{48, 60}	2	120.621279	1.000000	0.738344	0.738344
{28, 47}	2	10.109964	0.997470	0.740148	0.738275
{15, 65}	2	20.686901	1.000000	0.737775	0.737774
{17, 66}	2	115.849093	1.000000	0.737602	0.737602
{51, 7}	2	42.814740	1.000000	0.737450	0.737449
{12, 42}	2	48.134070	1.000000	0.737040	0.737040
{15, 34}	2	74.107660	1.000000	0.736586	0.736586
{31, 36}	2	96.028856	1.000000	0.736378	0.736378
{69, 7}	2	5.937816	0.935199	0.787126	0.736119
{24, 36}	2	68.978518	1.000000	0.734698	0.734698
{17, 21}	2	117.143803	1.000000	0.733529	0.733529
{10, 48}	2	8.809467	0.992741	0.737807	0.732451
{68, 7}	2	110.207013	1.000000	0.732441	0.732441
{23, 34}	2	52.563181	1.000000	0.731721	0.731721
{69, 71}	2	6.114624	0.942954	0.775214	0.730991
{58}	1	243.085052	1.000000	0.729865	0.729865
{60, 7}	2	123.917788	1.000000	0.729434	0.729434
{51, 72}	2	42.015440	1.000000	0.729258	0.729257
{15, 47}	2	16.563637	0.999990	0.728913	0.728906
{12, 31}	2	43.839203	1.000000	0.728016	0.728015
{12, 24}	2	18.171779	0.999998	0.726335	0.726333
{10, 7}	2	9.660850	0.996347	0.728897	0.726234
{42, 58}	2	116.076140	1.000000	0.725588	0.725588
{51, 71}	2	16.485408	0.999989	0.725538	0.725530
{68, 72}	2	106.870044	1.000000	0.724249	0.724249
{23, 47}	2	13.940897	0.999901	0.724048	0.723976
{32, 51}	2	5.599960	0.917609	0.788184	0.723245
{15, 73}	2	9.415107	0.995540	0.725864	0.722627
{32, 74}	2	17.842324	0.999997	0.722547	0.722544
{42}	1	238.315317	1.000000	0.721310	0.721310
{60, 72}	2	116.641841	1.000000	0.721242	0.721242
{68, 71}	2	35.784170	1.000000	0.720529	0.720529
{38, 9}	2	87.743719	1.000000	0.720004	0.720004
{28, 38}	2	35.677998	1.000000	0.718690	0.718689
{60, 71}	2	38.631643	1.000000	0.717521	0.717521
{31, 58}	2	98.224745	1.000000	0.716564	0.716564
{34, 51}	2	45.508462	1.000000	0.716307	0.716307
{24, 58}	2	69.118205	1.000000	0.714883	0.714883
{17, 74}	2	108.602600	1.000000	0.714275	0.714275
{10, 72}	2	8.510950	0.990797	0.720705	0.714072
{36, 9}	2	123.570888	1.000000	0.714038	0.714038
{48, 55}	2	29.914244	1.000000	0.712962	0.712961
{28, 36}	2	36.607394	1.000000	0.712724	0.712723
{65, 68}	2	19.105743	0.999999	0.712487	0.712486
{31, 42}	2	97.682091	1.000000	0.712286	0.712286
{34, 68}	2	108.238113	1.000000	0.711298	0.711298
{24, 42}	2	63.554047	1.000000	0.710606	0.710606
{60, 65}	2	18.436692	0.999998	0.709479	0.709478
{25, 48}	2	129.099683	1.000000	0.709035	0.709035
{34, 60}	2	119.319437	1.000000	0.708290	0.708290
{15, 38}	2	49.764690	1.000000	0.707455	0.707455
{12, 9}	2	45.664682	1.000000	0.705676	0.705676
{12, 28}	2	15.278666	0.999969	0.704361	0.704339
{55, 7}	2	26.377114	1.000000	0.704052	0.704051
{48, 66}	2	126.347510	1.000000	0.704049	0.704049
{47, 68}	2	24.754008	1.000000	0.703625	0.703625
{31}	1	197.734485	1.000000	0.703262	0.703262
{23, 38}	2	35.534331	1.000000	0.702589	0.702589
{10, 34}	2	8.633971	0.991653	0.707754	0.701846
{24, 31}	2	47.158022	1.000000	0.701582	0.701582
{15, 36}	2	77.449543	1.000000	0.701489	0.701489
{47, 60}	2	27.410623	1.000000	0.700618	0.700617
{68, 73}	2	20.014872	1.000000	0.700576	0.700576
{25, 7}	2	127.364423	1.000000	0.700126	0.700126
{21, 48}	2	126.313035	1.000000	0.699976	0.699976
{24}	1	141.475459	1.000000	0.699901	0.699901
{32, 64}	2	15.205454	0.999967	0.698337	0.698314
{60, 73}	2	19.136936	0.999999	0.697569	0.697568
{23, 36}	2	51.694747	1.000000	0.696623	0.696623
{28, 71}	2	5.635686	0.919657	0.757052	0.696228
{55, 72}	2	31.526035	1.000000	0.695860	0.695859
{66, 7}	2	126.318204	1.000000	0.695139	0.695139
{58, 9}	2	119.631491	1.000000	0.694224	0.694224
{12, 15}	2	19.144509	0.999999	0.693126	0.693125
{28, 58}	2	37.867864	1.000000	0.692909	0.692909
{49}	1	6.061295	0.940711	0.735888	0.692258
{25, 72}	2	118.053452	1.000000	0.691934	0.691934
{69}	1	11.676865	0.999314	0.692277	0.691802
{21, 7}	2	127.891407	1.000000	0.691066	0.691066
{17, 64}	2	96.391430	1.000000	0.690066	0.690066
{42, 9}	2	115.502309	1.000000	0.689946	0.689946
{55, 71}	2	9.295106	0.995085	0.692140	0.688738
{28, 42}	2	38.462053	1.000000	0.688632	0.688631
{12, 23}	2	26.007106	1.000000	0.688260	0.688260
{25, 71}	2	39.877688	1.000000	0.688214	0.688213
{38, 51}	2	29.200606	1.000000	0.687175	0.687175
{66, 72}	2	115.506114	1.000000	0.686947	0.686947
{48, 69}	2	4.842291	0.861421	0.796036	0.685722
{3, 32}	2	18.011513	0.999997	0.685349	0.685347
{66, 71}	2	41.327873	1.000000	0.683227	0.683226
{34, 55}	2	25.085749	1.000000	0.682909	0.682908
{21, 72}	2	121.162795	1.000000	0.682874	0.682874
{38, 68}	2	83.500496	1.000000	0.682166	0.682166
{15, 58}	2	68.443391	1.000000	0.681674	0.681674
{36, 51}	2	50.099752	1.000000	0.681209	0.681209
{31, 9}	2	97.579634	1.000000	0.680922	0.680922
{48, 74}	2	118.818220	1.000000	0.680722	0.680722
{36, 69}	2	5.844317	0.930713	0.730886	0.680245
{25, 65}	2	22.075640	1.000000	0.680171	0.680171
{28, 31}	2	35.630574	1.000000	0.679608	0.679607
{24, 9}	2	65.428024	1.000000	0.679242	0.679242
{38, 60}	2	93.713887	1.000000	0.679159	0.679159
{21, 71}	2	41.203280	1.000000	0.679154	0.679153
{25, 34}	2	125.791780	1.000000	0.678983	0.678983
{24, 28}	2	19.218663	0.999999	0.677927	0.677926
{15, 42}	2	69.096522	1.000000	0.677397	0.677397
{17, 3}	2	100.152905	1.000000	0.677077	0.677077
{23, 58}	2	51.411274	1.000000	0.676808	0.676808
{36, 68}	2	116.504392	1.000000	0.676201	0.676201
{65, 66}	2	22.355654	1.000000	0.675184	0.675184
{51, 65}	2	6.052307	0.940325	0.717495	0.674678
{34, 66}	2	124.446197	1.000000	0.673996	0.673996
{36, 60}	2	123.482196	1.000000	0.673193	0.673193
{12, 51}	2	14.238585	0.999924	0.672847	0.672795
{23, 42}	2	54.015696	1.000000	0.672531	0.672531
{7, 74}	2	119.591309	1.000000	0.671812	0.671812
{25, 47}	2	28.075018	1.000000	0.671310	0.671309
{21, 65}	2	20.211338	1.000000	0.671111	0.671111
{21, 34}	2	129.017888	1.000000	0.669923	0.669923
{10, 36}	2	9.316881	0.995171	0.672656	0.669408
{15, 31}	2	60.713921	1.000000	0.668373	0.668373
{25, 73}	2	20.536611	1.000000	0.668260	0.668260
{32, 62}	2	18.861780	0.999999	0.668131	0.668130
{12, 68}	2	42.451650	1.000000	0.667838	0.667838
{15, 24}	2	37.569269	1.000000	0.666692	0.666692
{47, 66}	2	22.880635	1.000000	0.666323	0.666322
{12, 60}	2	46.729834	1.000000	0.664831	0.664831
{72, 74}	2	109.689238	1.000000	0.663620	0.663620
{23, 31}	2	50.764870	1.000000	0.663507	0.663507
{66, 73}	2	21.290459	1.000000	0.663274	0.663273
{21, 47}	2	29.361395	1.000000	0.662250	0.662249
{51, 58}	2	42.851733	1.000000	0.661395	0.661394
{27, 32}	2	19.912925	1.000000	0.661262	0.661262
{71, 74}	2	41.561628	1.000000	0.659900	0.659900
{17, 62}	2	109.817789	1.000000	0.659860	0.659860
{21, 73}	2	21.637481	1.000000	0.659201	0.659200
{47, 55}	2	7.286932	0.976157	0.675236	0.659136
{9}	1	242.543508	1.000000	0.658582	0.658582
{31, 69}	2	6.134075	0.943753	0.697770	0.658522
{47, 51}	2	5.792786	0.928121	0.708634	0.657698
{28, 9}	2	39.559505	1.000000	0.657268	0.657267
{42, 51}	2	46.348579	1.000000	0.657117	0.657117
{48, 64}	2	98.734283	1.000000	0.656513	0.656513
{58, 68}	2	113.425498	1.000000	0.656386	0.656386
{28}	1	77.904949	1.000000	0.655953	0.655953
{10, 71}	2	5.538535	0.913977	0.716985	0.655307
{38, 55}	2	16.368795	0.999988	0.653777	0.653769
{58, 60}	2	120.802844	1.000000	0.653379	0.653379
{17, 27}	2	80.780245	1.000000	0.652991	0.652991
{42, 68}	2	110.838915	1.000000	0.652109	0.652109
{65, 74}	2	17.988732	0.999997	0.651858	0.651856
{69, 9}	2	6.744531	0.964105	0.675430	0.651185
{34, 74}	2	115.517172	1.000000	0.650669	0.650669
{25, 38}	2	94.530488	1.000000	0.649851	0.649851
{42, 60}	2	119.794218	1.000000	0.649101	0.649101
{31, 51}	2	33.927546	1.000000	0.648093	0.648093
{36, 55}	2	25.850162	1.000000	0.647811	0.647811
{64, 7}	2	102.288987	1.000000	0.647603	0.647603
{10, 38}	2	6.381500	0.953042	0.678622	0.646755
{24, 51}	2	22.168464	1.000000	0.646413	0.646412
{18, 48}	2	14.164963	0.999919	0.646391	0.646338
{15, 9}	2	74.511059	1.000000	0.646033	0.646033
{1, 32}	2	20.560412	1.000000	0.645721	0.645721
{38, 66}	2	93.895649	1.000000	0.644864	0.644864
{15, 28}	2	24.623182	1.000000	0.644718	0.644718
{10, 42}	2	8.871371	0.993092	0.648564	0.644084
{25, 36}	2	128.159022	1.000000	0.643885	0.643885
{3, 48}	2	107.381525	1.000000	0.643524	0.643524
{15, 69}	2	7.005858	0.970494	0.662880	0.643321
{31, 68}	2	92.306732	1.000000	0.643085	0.643085
{32, 56}	2	20.456970	1.000000	0.643066	0.643066
{47, 74}	2	21.523374	1.000000	0.642996	0.642996
{24, 68}	2	69.200883	1.000000	0.641404	0.641404
{42, 69}	2	5.431304	0.907283	0.706794	0.641262
{23, 9}	2	53.162438	1.000000	0.641167	0.641167
{21, 38}	2	96.386445	1.000000	0.640791	0.640791
{31, 60}	2	99.340692	1.000000	0.640077	0.640077
{73, 74}	2	23.240236	1.000000	0.639947	0.639947
{23, 28}	2	18.351348	0.999998	0.639852	0.639851
{33, 48}	2	4.546841	0.831622	0.769075	0.639580
{12, 55}	2	14.638094	0.999946	0.639449	0.639414
{64, 72}	2	101.209930	1.000000	0.639411	0.639411
{36, 66}	2	126.490130	1.000000	0.638898	0.638898
{24, 60}	2	67.187833	1.000000	0.638397	0.638397
{51, 73}	2	5.384511	0.904217	0.705585	0.638002
{1, 17}	2	120.361177	1.000000	0.637450	0.637450
{18, 7}	2	14.559869	0.999942	0.637481	0.637444
{64, 71}	2	37.209957	1.000000	0.635690	0.635690
{12, 25}	2	47.088629	1.000000	0.635523	0.635523
{21, 36}	2	131.484832	1.000000	0.634825	0.634825
{17, 56}	2	109.087219	1.000000	0.634795	0.634795
{3, 7}	2	113.027299	1.000000	0.634614	0.634614
{10, 31}	2	8.549564	0.991074	0.639540	0.633832
{15}	1	151.315014	1.000000	0.633483	0.633483
{17, 33}	2	4.182750	0.787470	0.802628	0.632046
{12, 66}	2	52.235877	1.000000	0.630536	0.630536
{18, 72}	2	14.612302	0.999945	0.629289	0.629254
{10, 58}	2	6.730027	0.963715	0.652842	0.629153
{15, 23}	2	32.962084	1.000000	0.628618	0.628617
{55, 58}	2	26.984082	1.000000	0.627997	0.627996
{12, 21}	2	47.739516	1.000000	0.626463	0.626463
{34, 64}	2	98.823119	1.000000	0.626460	0.626460
{3, 72}	2	99.684350	1.000000	0.626422	0.626422
{48, 62}	2	123.671066	1.000000	0.626307	0.626307
{32, 40}	2	20.534870	1.000000	0.626057	0.626057
{51, 9}	2	48.485300	1.000000	0.625753	0.625753
{28, 51}	2	14.531891	0.999941	0.624439	0.624402
{25, 58}	2	123.159414	1.000000	0.624071	0.624071
{23}	1	106.463919	1.000000	0.623752	0.623752
{42, 55}	2	22.990744	1.000000	0.623719	0.623719
{14, 17}	2	68.969751	1.000000	0.622941	0.622941
{3, 71}	2	42.233299	1.000000	0.622702	0.622702
{14, 32}	2	7.971564	0.985938	0.631212	0.622336
{38, 74}	2	88.780474	1.000000	0.621538	0.621538
{68, 9}	2	113.542629	1.000000	0.620745	0.620745
{25, 42}	2	121.507179	1.000000	0.619793	0.619793
{27, 48}	2	99.238032	1.000000	0.619438	0.619438
{28, 68}	2	39.947984	1.000000	0.619430	0.619430
{58, 66}	2	124.177428	1.000000	0.619084	0.619084
{47, 64}	2	22.507264	1.000000	0.618787	0.618786
{17, 40}	2	106.552906	1.000000	0.617786	0.617786
{60, 9}	2	115.773628	1.000000	0.617737	0.617737
{32, 52}	2	19.427393	0.999999	0.617450	0.617450
{62, 7}	2	120.501296	1.000000	0.617397	0.617397
{33}	1	6.835618	0.966468	0.638355	0.616950
{28, 60}	2	38.987851	1.000000	0.616423	0.616422
{18, 34}	2	12.793078	0.999734	0.616338	0.616174
{64, 73}	2	13.869078	0.999895	0.615738	0.615673
{36, 74}	2	120.886377	1.000000	0.615571	0.615571
{21, 58}	2	127.823803	1.000000	0.615011	0.615011
{42, 66}	2	120.991413	1.000000	0.614806	0.614806
{31, 55}	2	28.413345	1.000000	0.614695	0.614695
{3, 65}	2	15.919529	0.999982	0.614660	0.614649
{3, 34}	2	105.462436	1.000000	0.613471	0.613471
{15, 51}	2	27.656851	1.000000	0.613204	0.613203
{25, 31}	2	104.252748	1.000000	0.610769	0.610769
{17, 49}	2	3.716634	0.717371	0.851395	0.610766
{21, 42}	2	121.881453	1.000000	0.610733	0.610733
{27, 7}	2	88.689750	1.000000	0.610528	0.610528
{32, 70}	2	16.513073	0.999990	0.609978	0.609971
{62, 72}	2	117.216518	1.000000	0.609205	0.609205
{17, 52}	2	116.286087	1.000000	0.609179	0.609179
{24, 25}	2	77.873861	1.000000	0.609088	0.609088
{23, 51}	2	24.612141	1.000000	0.608338	0.608338
{15, 68}	2	69.203923	1.000000	0.608195	0.608195
{12, 74}	2	43.351815	1.000000	0.607209	0.607209
{3, 47}	2	23.124490	1.000000	0.605798	0.605798
{31, 66}	2	101.565237	1.000000	0.605782	0.605782
{62, 71}	2	38.964346	1.000000	0.605485	0.605484
{15, 60}	2	73.840947	1.000000	0.605188	0.605188
{24, 66}	2	72.287740	1.000000	0.604102	0.604102
{1, 48}	2	124.702599	1.000000	0.603897	0.603897
{23, 68}	2	44.808305	1.000000	0.603330	0.603330
{3, 73}	2	17.845324	0.999997	0.602749	0.602747
{27, 72}	2	82.434239	1.000000	0.602336	0.602336
{21, 31}	2	103.277036	1.000000	0.601709	0.601709
{17, 70}	2	76.393284	1.000000	0.601706	0.601706
{48, 56}	2	121.187967	1.000000	0.601242	0.601242
{23, 60}	2	54.442038	1.000000	0.600322	0.600322
{21, 24}	2	77.607247	1.000000	0.600029	0.600029
{27, 71}	2	37.983886	1.000000	0.598616	0.598615
{62, 65}	2	20.049235	1.000000	0.597442	0.597442
{38, 64}	2	74.047745	1.000000	0.597328	0.597328
{34, 62}	2	119.844215	1.000000	0.596254	0.596254
{58, 74}	2	120.344040	1.000000	0.595757	0.595757
{1, 7}	2	126.835133	1.000000	0.594987	0.594987
{51}	1	91.464526	1.000000	0.592924	0.592924
{23, 69}	2	5.329802	0.900516	0.658015	0.592553
{55, 9}	2	28.097760	1.000000	0.592355	0.592355
{56, 7}	2	117.711725	1.000000	0.592332	0.592332
{42, 74}	2	119.721422	1.000000	0.591479	0.591479
{36, 64}	2	103.163448	1.000000	0.591362	0.591362
{27, 65}	2	21.469401	1.000000	0.590573	0.590573
{14, 48}	2	69.694237	1.000000	0.589388	0.589388
{27, 34}	2	88.513227	1.000000	0.589385	0.589385
{47, 62}	2	23.479683	1.000000	0.588581	0.588580
{25, 9}	2	125.930197	1.000000	0.588429	0.588429
{51, 68}	2	43.751394	1.000000	0.587916	0.587915
{10, 15}	2	7.039008	0.971223	0.604651	0.587251
{25, 28}	2	39.628664	1.000000	0.587115	0.587114
{18, 38}	2	12.526215	0.999666	0.587206	0.587010
{1, 72}	2	116.329127	1.000000	0.586795	0.586795
{62, 73}	2	21.043396	1.000000	0.585532	0.585531
{51, 60}	2	43.669626	1.000000	0.584908	0.584908
{3, 38}	2	73.640548	1.000000	0.584340	0.584340
{40, 48}	2	112.247618	1.000000	0.584233	0.584233
{56, 72}	2	113.611890	1.000000	0.584140	0.584140
{66, 9}	2	122.707005	1.000000	0.583442	0.583442
{1, 71}	2	39.904477	1.000000	0.583074	0.583074
{12, 64}	2	44.501060	1.000000	0.583000	0.583000
{68}	1	233.012327	1.000000	0.582907	0.582907
{25, 69}	2	6.703530	0.962992	0.605277	0.582876
{31, 74}	2	94.998780	1.000000	0.582456	0.582456
{28, 66}	2	40.407588	1.000000	0.582128	0.582127
{27, 47}	2	17.805175	0.999997	0.581712	0.581710
{18, 36}	2	13.495771	0.999855	0.581240	0.581156
{24, 74}	2	68.326877	1.000000	0.580775	0.580775
{14, 7}	2	70.226943	1.000000	0.580478	0.580478
{56, 71}	2	42.913211	1.000000	0.580420	0.580419
{60, 68}	2	116.403189	1.000000	0.579900	0.579900
{15, 55}	2	17.804329	0.999997	0.579806	0.579804
{10, 12}	2	4.969076	0.872719	0.664294	0.579742
{21, 9}	2	129.863149	1.000000	0.579369	0.579369
{27, 73}	2	17.128050	0.999994	0.578663	0.578659
