===== WPFI OUTPUT =====
dataset = D:\Phan-mem-huong-doi-tuong-main\src\data\mushrooms.txt
input   = D:\Phan-mem-huong-doi-tuong-main\src\input.txt
MSUP=2  T=0.1  useExactTail=false
transactions=100
----------------------------------------------
Itemset	k	mu	pTail	avgW	score
{21, 94, 97}	3	6.368684	0.987367	0.810965	0.800720
{39, 42}	2	23.903765	1.000000	0.800192	0.800192
{108, 94, 97}	3	5.779924	0.979057	0.816905	0.799797
{108, 88, 90}	3	5.964203	0.982108	0.814249	0.799680
{23, 42, 94}	3	11.638347	0.999889	0.798326	0.798237
{90, 94, 97}	3	12.060430	0.999924	0.796870	0.796809
{113, 42, 97}	3	5.236523	0.966830	0.823212	0.795906
{42, 57}	2	26.178483	1.000000	0.795327	0.795326
{39, 42, 97}	3	10.198021	0.999583	0.793937	0.793606
{21, 88}	2	16.569896	0.999999	0.792619	0.792618
{42, 57, 97}	3	11.644853	0.999889	0.790693	0.790605
{21, 23, 90}	3	7.757585	0.996256	0.793415	0.790445
{108, 42, 67}	3	7.193658	0.993844	0.794991	0.790097
{42, 6, 90}	3	7.270642	0.994246	0.794494	0.789923
{39, 42, 94}	3	11.006402	0.999801	0.789959	0.789802
{42, 57, 94}	3	13.260588	0.999975	0.786716	0.786696
{21, 88, 97}	3	7.794069	0.996375	0.788888	0.786028
{108, 39, 90}	3	6.836302	0.991583	0.790989	0.784331
{9, 90}	2	9.647466	0.999312	0.784777	0.784237
{21, 88, 94}	3	8.327339	0.997745	0.784910	0.783140
{97}	1	47.417088	1.000000	0.781426	0.781426
{108, 42, 56}	3	6.648013	0.990084	0.788951	0.781127
{113, 21}	2	5.543639	0.974400	0.801643	0.781120
{113, 90}	2	12.453577	0.999947	0.780500	0.780459
{21, 9}	2	5.274331	0.967867	0.805920	0.780023
{108, 57, 90}	3	6.631397	0.989939	0.787745	0.779820
{108, 88, 94}	3	6.180109	0.985136	0.790850	0.779095
{108, 23}	2	9.867110	0.999437	0.779189	0.778749
{113, 42, 94}	3	4.753061	0.950378	0.819235	0.778583
{113, 42, 88}	3	5.643159	0.976472	0.797158	0.778402
{21, 39, 90}	3	6.788264	0.991223	0.785049	0.778159
{108, 23, 90}	3	5.425834	0.971717	0.799355	0.776747
{23, 42, 88}	3	13.940449	0.999987	0.776248	0.776238
{108, 88, 97}	3	5.634286	0.976294	0.794828	0.775986
{94, 97}	2	22.484239	1.000000	0.775460	0.775460
{42, 67, 90}	3	14.180140	0.999989	0.774955	0.774947
{21, 57, 90}	3	6.769633	0.991080	0.781805	0.774831
{88, 90, 97}	3	14.204955	0.999990	0.774792	0.774784
{113, 90, 97}	3	6.906542	0.992084	0.780808	0.774627
{21, 42, 67}	3	5.916329	0.981360	0.789051	0.774343
{108, 9}	2	4.703217	0.948294	0.814830	0.772699
{42, 6}	2	12.593407	0.999954	0.771897	0.771861
{88, 90}	2	30.404720	1.000000	0.771476	0.771475
{88, 90, 94}	3	15.665520	0.999997	0.770815	0.770813
{21, 42, 56}	3	6.079400	0.983791	0.783011	0.770319
{21, 23}	2	13.985939	0.999987	0.770279	0.770269
{94}	1	48.580319	1.000000	0.769494	0.769494
{42, 56, 90}	3	13.973583	0.999987	0.768915	0.768906
{39, 42, 88}	3	12.658509	0.999957	0.767882	0.767849
{108, 39}	2	11.000260	0.999800	0.766639	0.766485
{42, 6, 97}	3	6.461438	0.988341	0.775073	0.766037
{21, 23, 94}	3	7.148392	0.993594	0.770017	0.765085
{42, 57, 88}	3	13.671217	0.999983	0.764638	0.764625
{113, 90, 94}	3	6.033376	0.983138	0.776831	0.763732
{108, 21, 90}	3	3.579967	0.872326	0.873820	0.762256
{21, 23, 97}	3	6.146803	0.984704	0.773994	0.762155
{108, 57}	2	12.730950	0.999959	0.761774	0.761743
{108, 21, 97}	3	3.779073	0.890828	0.854399	0.761122
{23, 90, 97}	3	12.221104	0.999935	0.759899	0.759850
{108, 57, 97}	3	6.464827	0.988375	0.768324	0.759393
{42, 6, 94}	3	6.063482	0.983568	0.771096	0.758425
{21, 39}	2	12.450818	0.999947	0.757729	0.757689
{23, 90, 94}	3	11.705209	0.999895	0.755922	0.755842
{42, 67, 97}	3	11.103758	0.999818	0.755534	0.755397
{113, 23, 42}	3	5.182123	0.965281	0.782264	0.755105
{108, 57, 94}	3	6.411213	0.987823	0.764347	0.755040
{9, 97}	2	8.285499	0.997659	0.755646	0.753876
{39, 42, 9}	3	5.342257	0.969652	0.776750	0.753177
{23, 39, 42}	3	12.042551	0.999923	0.752989	0.752931
{21, 57}	2	13.071896	0.999970	0.752863	0.752841
{39, 90, 97}	3	12.349269	0.999942	0.751533	0.751489
{42, 67, 94}	3	11.743422	0.999899	0.751557	0.751481
{88, 94, 97}	3	12.846026	0.999963	0.751394	0.751367
{113, 97}	2	12.149387	0.999930	0.751368	0.751316
{113, 42, 57}	3	5.553314	0.974609	0.770654	0.751086
{42, 57, 9}	3	5.393605	0.970937	0.773506	0.751026
{113, 88, 90}	3	7.280401	0.994296	0.754754	0.750448
{23, 42, 57}	3	13.218933	0.999974	0.749745	0.749726
{42, 56, 97}	3	10.718626	0.999741	0.749494	0.749300
{23, 90}	2	25.941861	1.000000	0.749136	0.749135
{21, 39, 97}	3	5.738656	0.978308	0.765628	0.749020
{21, 57, 94}	3	6.383008	0.987522	0.758407	0.748944
{108, 67, 90}	3	7.466498	0.995158	0.752587	0.748942
{9, 94}	2	8.969126	0.998731	0.749680	0.748728
{57, 90, 97}	3	12.357866	0.999943	0.748289	0.748246
{21, 57, 97}	3	5.893168	0.980987	0.762384	0.747889
{39, 90, 94}	3	11.471069	0.999870	0.747555	0.747458
{21, 23, 88}	3	8.740564	0.998442	0.747940	0.746774
{42, 88, 9}	3	4.391131	0.933222	0.800009	0.746586
{42, 56, 94}	3	12.169936	0.999932	0.745517	0.745466
{113, 39, 42}	3	5.109381	0.963100	0.773898	0.745342
{113, 94}	2	10.570393	0.999703	0.745402	0.745181
{108, 39, 97}	3	5.166584	0.964826	0.771568	0.744429
{57, 90, 94}	3	13.666128	0.999983	0.744312	0.744299
{21, 67, 90}	3	7.770114	0.996298	0.746647	0.743882
{42, 67}	2	24.067960	1.000000	0.742589	0.742588
{88, 97}	2	25.447261	1.000000	0.742344	0.742344
{108, 23, 94}	3	4.898737	0.956019	0.775957	0.741830
{39, 42, 57}	3	13.286787	0.999976	0.741379	0.741361
{108, 23, 88}	3	6.028862	0.983073	0.753880	0.741119
{108, 56, 90}	3	6.672586	0.990293	0.746547	0.739300
{42, 9, 94}	3	3.856915	0.897358	0.822087	0.737706
{39, 90}	2	26.012475	1.000000	0.736586	0.736586
{88, 94}	2	28.126245	1.000000	0.736378	0.736378
{113, 94, 97}	3	5.431791	0.971859	0.757410	0.736096
{23, 94, 97}	3	9.454092	0.999181	0.736501	0.735897
{21, 39, 94}	3	5.203380	0.965894	0.761651	0.735674
{42, 9, 97}	3	3.772938	0.890297	0.826064	0.735442
{42, 6, 88}	3	5.905221	0.981182	0.749018	0.734923
{21, 57, 88}	3	8.316297	0.997722	0.736330	0.734652
{21, 39, 88}	3	7.045460	0.992990	0.739573	0.734389
{23, 88, 90}	3	15.620739	0.999997	0.733844	0.733842
{42, 56}	2	23.726836	1.000000	0.733529	0.733528
{57, 90}	2	26.748693	1.000000	0.731721	0.731720
{21, 56, 90}	3	6.320600	0.986831	0.740607	0.730854
{113, 88, 97}	3	7.072174	0.993152	0.735333	0.730297
{9}	1	19.251273	1.000000	0.729865	0.729865
{42, 67, 88}	3	12.445928	0.999947	0.729480	0.729441
{9, 90, 94}	3	4.418281	0.934683	0.779683	0.728756
{108, 6}	2	6.312048	0.986734	0.738344	0.728548
{108, 21, 88}	3	3.651661	0.879299	0.828344	0.728362
{42, 5, 90}	3	7.646023	0.995868	0.731281	0.728259
{108, 42, 71}	3	6.543630	0.989143	0.735259	0.727276
{39, 94, 97}	3	8.508145	0.998081	0.728134	0.726737
{9, 90, 97}	3	4.279824	0.926900	0.783660	0.726375
{108, 57, 88}	3	5.731699	0.978179	0.742270	0.726072
{39, 88, 90}	3	13.824573	0.999985	0.725478	0.725467
{57, 94, 97}	3	10.873182	0.999775	0.724891	0.724727
{6, 90, 97}	3	6.424429	0.987962	0.732669	0.723849
{42, 56, 88}	3	11.944397	0.999916	0.723440	0.723379
{113, 88, 94}	3	6.488429	0.988611	0.731355	0.723026
{57, 88, 90}	3	14.679489	0.999993	0.722234	0.722230
{108, 67, 97}	3	6.152403	0.984777	0.733166	0.722005
{113}	1	24.073520	1.000000	0.721310	0.721310
{21, 42, 71}	3	6.506377	0.988786	0.729319	0.721140
{21, 6}	2	6.471896	0.988446	0.729434	0.721006
{113, 57, 90}	3	6.633484	0.989958	0.728250	0.720937
{108, 39, 94}	3	4.506117	0.939206	0.767591	0.720925
{21, 67, 97}	3	6.704980	0.990563	0.727226	0.720363
{23, 97}	2	21.508951	1.000000	0.720004	0.720004
{113, 39, 90}	3	6.114974	0.984279	0.731494	0.719994
{6, 90, 94}	3	6.379634	0.987486	0.728692	0.719573
{108, 23, 97}	3	4.190739	0.921438	0.779934	0.718661
{21, 67, 94}	3	7.022959	0.992850	0.723248	0.718077
{21, 23, 57}	3	7.323485	0.994508	0.721436	0.717474
{108, 21, 94}	3	3.314094	0.843109	0.850421	0.716998
{42, 57, 6}	3	6.880742	0.991903	0.722515	0.716665
{1, 108, 42}	3	6.452658	0.988252	0.724898	0.716382
{88, 9}	2	10.024463	0.999512	0.716564	0.716214
{88, 9, 90}	3	4.626304	0.944914	0.757605	0.715872
{39, 9, 90}	3	5.556554	0.974678	0.734346	0.715751
{42, 71, 90}	3	15.095908	0.999996	0.715223	0.715220
{23, 42, 67}	3	12.026207	0.999922	0.714586	0.714531
{23, 88, 97}	3	12.224138	0.999935	0.714423	0.714377
{23, 94}	2	22.166654	1.000000	0.714038	0.714038
{108, 56, 94}	3	6.361585	0.987289	0.723148	0.713957
{21, 23, 39}	3	6.171460	0.985025	0.724680	0.713828
{67, 90, 97}	3	13.916182	0.999987	0.713130	0.713121
{113, 42, 56}	3	5.695366	0.977493	0.729456	0.713038
{108, 56, 97}	3	5.860169	0.980443	0.727126	0.712905
{113, 23, 90}	3	5.105517	0.962981	0.739860	0.712471
{113, 88}	2	14.017228	0.999988	0.712286	0.712277
{42, 67, 9}	3	5.141024	0.964065	0.738347	0.711815
{108, 39, 88}	3	4.844717	0.954003	0.745513	0.711222
{57, 9, 90}	3	5.467904	0.972705	0.731102	0.711147
{23, 39, 90}	3	12.474431	0.999948	0.710585	0.710548
{23, 88, 94}	3	13.974341	0.999987	0.710446	0.710437
{23, 42, 6}	3	5.249634	0.967193	0.734125	0.710041
{67, 90, 94}	3	13.637056	0.999983	0.709153	0.709141
{108, 67}	2	13.210709	0.999974	0.709035	0.709017
{23, 42, 56}	3	11.698694	0.999895	0.708546	0.708472
{108, 67, 94}	3	5.418786	0.971549	0.729188	0.708442
{6, 90}	2	12.376373	0.999944	0.708290	0.708251
{108, 42, 6}	3	3.549748	0.869277	0.814529	0.708052
{39, 97}	2	20.659814	1.000000	0.707455	0.707454
{23, 57, 90}	3	13.289232	0.999976	0.707341	0.707324
{56, 90, 97}	3	11.887306	0.999911	0.707090	0.707028
{104, 108, 42}	3	7.067815	0.993125	0.711789	0.706895
{21, 56, 97}	3	5.841370	0.980127	0.721186	0.706853
{39, 42, 67}	3	12.292802	0.999939	0.706220	0.706177
{39, 88, 97}	3	11.054881	0.999809	0.706057	0.705922
{21, 56, 94}	3	6.030642	0.983099	0.717208	0.705087
{1, 42, 90}	3	13.744391	0.999984	0.704863	0.704852
{21, 39, 57}	3	6.426871	0.987987	0.713070	0.704504
{23, 42, 9}	3	3.850724	0.896853	0.785116	0.704133
{88}	1	55.295307	1.000000	0.703262	0.703262
{56, 90, 94}	3	12.911543	0.999966	0.703113	0.703089
{42, 57, 67}	3	12.538123	0.999951	0.702976	0.702942
{6, 94, 97}	3	6.745481	0.990890	0.709271	0.702809
{57, 88, 97}	3	12.187318	0.999933	0.702813	0.702766
{57, 97}	2	22.624853	1.000000	0.702589	0.702589
{39, 88, 94}	3	12.722286	0.999959	0.702080	0.702051
{113, 39, 97}	3	6.183365	0.985177	0.712073	0.701518
{39, 94}	2	21.190616	1.000000	0.701489	0.701488
{42, 5, 94}	3	6.618653	0.989827	0.707883	0.700682
{21, 67}	2	13.528122	0.999981	0.700126	0.700112
{1, 21, 42}	3	5.513890	0.973746	0.718958	0.700083
{39, 42, 56}	3	10.806069	0.999761	0.700180	0.700012
{108, 56}	2	12.041844	0.999923	0.699976	0.699922
{88, 9, 94}	3	4.823622	0.953192	0.734207	0.699840
{9, 94, 97}	3	4.173748	0.920353	0.760262	0.699709
{113, 42, 67}	3	4.775521	0.951291	0.735496	0.699670
{39, 57, 90}	3	13.596545	0.999982	0.698975	0.698962
{57, 88, 94}	3	14.329268	0.999991	0.698836	0.698830
{113, 23, 97}	3	5.351128	0.969878	0.720439	0.698738
{108, 67, 88}	3	6.375925	0.987446	0.707111	0.698234
{21, 67, 88}	3	7.608952	0.995730	0.701171	0.698177
{42, 56, 57}	3	11.625650	0.999887	0.696936	0.696858
{57, 94}	2	24.259997	1.000000	0.696623	0.696623
{22, 42, 90}	3	6.716702	0.990659	0.703093	0.696525
{113, 57, 97}	3	5.995358	0.982580	0.708829	0.696481
{42, 71, 97}	3	10.993407	0.999798	0.695802	0.695662
{108, 39, 57}	3	5.229204	0.966625	0.719010	0.695013
{6, 88, 90}	3	5.883552	0.980830	0.706614	0.693069
{23, 9}	2	8.539461	0.998134	0.694224	0.692928
{42, 71, 94}	3	12.729264	0.999959	0.691825	0.691797
{104, 42, 90}	3	12.869594	0.999964	0.691753	0.691729
{108, 23, 57}	3	4.767342	0.950961	0.727376	0.691706
{113, 9}	2	4.813381	0.952793	0.725588	0.691335
{21, 56}	2	12.189786	0.999933	0.691066	0.691019
{23, 39, 97}	3	10.139215	0.999560	0.691164	0.690860
{113, 23}	2	11.012923	0.999802	0.689946	0.689809
{67, 94, 97}	3	11.495764	0.999873	0.689732	0.689644
{21, 56, 88}	3	6.813204	0.991412	0.695131	0.689161
{42, 56, 9}	3	4.513704	0.939582	0.732307	0.688063
{23, 57, 97}	3	10.913014	0.999783	0.687920	0.687771
{108, 56, 88}	3	5.871391	0.980630	0.701071	0.687491
{67, 88, 90}	3	15.083218	0.999995	0.687076	0.687073
{23, 39, 94}	3	9.848653	0.999427	0.687186	0.686793
{113, 67, 90}	3	6.689911	0.990438	0.693092	0.686465
{21, 71, 90}	3	8.873236	0.998617	0.686915	0.685965
{108, 71, 90}	3	6.552293	0.989224	0.692855	0.685389
{1, 42, 97}	3	11.414323	0.999863	0.685442	0.685348
{113, 23, 88}	3	6.288541	0.986462	0.694385	0.684984
{113, 39, 94}	3	5.234842	0.966783	0.708096	0.684575
{108, 23, 39}	3	4.451065	0.936407	0.730620	0.684158
{6, 88, 97}	3	7.494182	0.995275	0.687193	0.683946
{23, 57, 94}	3	12.497105	0.999950	0.683943	0.683908
{56, 94, 97}	3	10.962637	0.999793	0.683692	0.683550
{57, 9, 94}	3	5.163525	0.964735	0.707704	0.682747
{113, 39, 88}	3	7.365186	0.994706	0.686018	0.682386
{21, 23, 67}	3	7.115536	0.993407	0.686278	0.681753
{1, 42, 94}	3	11.995896	0.999920	0.681464	0.681410
{39, 9}	2	10.274025	0.999611	0.681674	0.681409
{56, 88, 90}	3	13.284999	0.999976	0.681036	0.681019
{23, 88}	2	28.874734	1.000000	0.680922	0.680922
{42, 5, 88}	3	6.955509	0.992415	0.685805	0.680604
{113, 56, 90}	3	6.618863	0.989829	0.687052	0.680064
{39, 57, 97}	3	10.269499	0.999609	0.679554	0.679288
{108, 23, 67}	3	5.903487	0.981154	0.692218	0.679172
{6, 97}	2	12.698840	0.999958	0.679159	0.679131
{113, 57, 88}	3	7.312748	0.994456	0.682775	0.678989
{67, 90}	2	27.774386	1.000000	0.678983	0.678982
{113, 57, 94}	3	5.087502	0.962419	0.704852	0.678363
{113, 39}	2	12.239636	0.999936	0.677397	0.677353
{42, 6, 67}	3	6.170835	0.985017	0.687356	0.677057
{42, 5}	2	13.092784	0.999971	0.677077	0.677057
{57, 9}	2	10.857679	0.999772	0.676808	0.676654
{6, 88, 94}	3	6.678430	0.990342	0.683216	0.676618
{42, 5, 97}	3	4.740392	0.949856	0.711860	0.676165
{39, 57, 94}	3	11.618350	0.999886	0.675576	0.675500
{22, 42, 94}	3	7.025480	0.992866	0.679694	0.674845
{104, 21, 42}	3	4.897259	0.955965	0.705849	0.674767
{21, 5, 90}	3	5.005828	0.959768	0.702972	0.674690
{22, 42, 97}	3	6.319284	0.986816	0.683672	0.674658
{21, 6, 97}	3	3.932671	0.903363	0.746764	0.674599
{108, 36, 42}	3	7.384769	0.994796	0.677086	0.673563
{42, 56, 6}	3	6.429874	0.988018	0.681316	0.673153
{6, 94}	2	12.064889	0.999925	0.673193	0.673142
{1, 108, 90}	3	6.267463	0.986213	0.682494	0.673085
{57, 6, 90}	3	6.570412	0.989392	0.680111	0.672897
{108, 57, 67}	3	6.446644	0.988191	0.680608	0.672570
{113, 57}	2	12.760366	0.999960	0.672531	0.672504
{21, 42, 5}	3	3.916492	0.902109	0.745376	0.672410
{57, 88, 9}	3	5.868592	0.980584	0.685626	0.672314
{23, 67, 90}	3	13.434985	0.999979	0.672182	0.672168
{104, 42, 97}	3	10.652760	0.999725	0.672332	0.672147
{88, 9, 97}	3	4.023204	0.910107	0.738184	0.671827
{39, 88, 9}	3	5.501294	0.973465	0.688870	0.670591
{23, 88, 9}	3	5.039473	0.960881	0.697236	0.669961
{56, 90}	2	25.325231	1.000000	0.669923	0.669922
{42, 71, 88}	3	13.160302	0.999973	0.669748	0.669729
{21, 23, 56}	3	6.093369	0.983985	0.680238	0.669343
{1, 21, 90}	3	6.556829	0.989266	0.676554	0.669292
{67, 9, 90}	3	5.041673	0.960953	0.695943	0.668769
{39, 88}	2	25.778373	1.000000	0.668373	0.668372
{39, 42, 6}	3	4.182053	0.920885	0.725759	0.668340
{104, 42, 94}	3	11.649835	0.999890	0.668355	0.668281
{67, 88, 97}	3	12.846215	0.999964	0.667655	0.667630
{108, 21, 42}	3	2.578232	0.728383	0.916224	0.667362
{56, 9, 90}	3	5.239767	0.966920	0.689903	0.667081
{23, 42, 5}	3	7.223742	0.994004	0.670912	0.666889
{57, 9, 97}	3	4.459103	0.936823	0.711681	0.666719
{113, 42, 71}	3	6.258378	0.986105	0.675764	0.666374
{21, 39, 67}	3	6.020379	0.982949	0.677911	0.666352
{23, 56, 90}	3	11.852953	0.999909	0.666142	0.666081
{104, 108, 90}	3	7.442030	0.995052	0.669385	0.666073
{23, 9, 90}	3	3.848922	0.896705	0.742712	0.665994
{108, 39, 67}	3	5.501628	0.973473	0.683851	0.665711
{23, 39, 88}	3	13.857750	0.999986	0.665109	0.665100
{21, 71, 97}	3	7.344808	0.994610	0.667494	0.663896
{39, 67, 90}	3	13.864812	0.999986	0.663816	0.663807
{113, 67, 97}	3	6.197304	0.985354	0.673671	0.663804
{67, 88, 94}	3	13.872178	0.999986	0.663677	0.663668
{57, 88}	2	27.887471	1.000000	0.663507	0.663507
{108, 56, 57}	3	6.008739	0.982778	0.674568	0.662950
{21, 57, 67}	3	5.935291	0.981660	0.674668	0.662294
{23, 57, 88}	3	15.892834	0.999998	0.661865	0.661864
{42, 56, 67}	3	11.843876	0.999908	0.661778	0.661717
{21, 36, 42}	3	6.232481	0.985791	0.671146	0.661610
{56, 88, 97}	3	11.340944	0.999853	0.661615	0.661518
{57, 67, 90}	3	13.134932	0.999972	0.660572	0.660554
{113, 23, 57}	3	6.530674	0.989020	0.667881	0.660548
{5, 90, 94}	3	6.912591	0.992126	0.665479	0.660238
{113, 23, 94}	3	4.191093	0.921460	0.716462	0.660191
{42, 71, 9}	3	5.448631	0.972257	0.678615	0.659788
{39, 42, 5}	3	7.512379	0.995350	0.662546	0.659465
{1, 42, 88}	3	12.248261	0.999936	0.659387	0.659345
{21, 56, 57}	3	6.237737	0.985855	0.668628	0.659170
{104, 21, 90}	3	7.077784	0.993185	0.663445	0.658923
{21, 71, 94}	3	7.016603	0.992810	0.663516	0.658746
{23}	1	47.849499	1.000000	0.658582	0.658582
{39, 56, 90}	3	11.969195	0.999918	0.657776	0.657722
{56, 88, 94}	3	13.560898	0.999981	0.657637	0.657625
{113, 23, 39}	3	5.804742	0.979496	0.671125	0.657364
{36, 42, 90}	3	13.151438	0.999973	0.657051	0.657033
{23, 6, 97}	3	5.611231	0.975826	0.672300	0.656048
{39, 9, 94}	3	4.209113	0.922595	0.710947	0.655916
{23, 6, 90}	3	4.691563	0.947795	0.691721	0.655610
{113, 39, 57}	3	7.048582	0.993009	0.659515	0.654904
{113, 67, 94}	3	5.713748	0.977843	0.669693	0.654855
{23, 42, 71}	3	12.447205	0.999947	0.654854	0.654820
{56, 57, 90}	3	12.729791	0.999959	0.654532	0.654506
{39, 57, 88}	3	14.535586	0.999992	0.653499	0.653494
{71, 90, 97}	3	14.838828	0.999994	0.653398	0.653395
{108, 128, 42}	3	6.913289	0.992130	0.658303	0.653122
{113, 56, 94}	3	6.103506	0.984124	0.663653	0.653117
{42, 71}	2	26.007930	1.000000	0.652991	0.652990
{23, 67, 97}	3	11.518723	0.999876	0.652761	0.652680
{1, 21, 97}	3	7.058127	0.993067	0.657133	0.652577
{42, 5, 57}	3	6.604781	0.989704	0.659302	0.652514
{5, 90, 97}	3	5.547492	0.974483	0.669456	0.652373
{57, 6, 97}	3	6.282806	0.986395	0.660690	0.651701
{39, 57, 9}	3	6.063952	0.983575	0.662367	0.651487
{21, 39, 56}	3	5.341990	0.969645	0.671871	0.651477
{113, 56, 97}	3	5.604939	0.975696	0.667631	0.651405
{108, 120, 42}	3	5.687660	0.977345	0.665496	0.650420
{67, 97}	2	23.653526	1.000000	0.649851	0.649851
{1, 108, 97}	3	5.837023	0.980053	0.663073	0.649847
{22, 42, 88}	3	6.411361	0.987825	0.657617	0.649610
{71, 90, 94}	3	14.889090	0.999995	0.649421	0.649417
{108, 71, 94}	3	5.349065	0.969825	0.669456	0.649256
{108, 23, 56}	3	4.641418	0.945594	0.686178	0.648846
{23, 67, 94}	3	11.711364	0.999896	0.648784	0.648716
{108, 21, 67}	3	3.330732	0.845103	0.766682	0.647925
{57, 6, 94}	3	6.271099	0.986257	0.656713	0.647687
{1, 21, 94}	3	6.660947	0.990194	0.653156	0.646751
{108, 71, 97}	3	5.016883	0.960137	0.673434	0.646589
{108, 6, 94}	3	3.494821	0.863563	0.748727	0.646573
{39, 42, 71}	3	13.737832	0.999984	0.646488	0.646478
{23, 56, 97}	3	10.081765	0.999536	0.646721	0.646422
{104, 42, 88}	3	11.538526	0.999878	0.646278	0.646199
{23, 39}	2	22.971016	1.000000	0.646033	0.646032
{120, 42, 90}	3	11.112413	0.999819	0.645461	0.645344
{108, 21, 23}	3	2.949359	0.793159	0.813451	0.645196
{56, 9, 94}	3	5.258117	0.967426	0.666505	0.644794
{1, 23, 42}	3	12.639303	0.999956	0.644494	0.644465
{39, 67, 97}	3	11.168382	0.999828	0.644395	0.644284
{1, 108, 94}	3	5.678548	0.977169	0.659096	0.644048
{104, 108, 97}	3	6.741007	0.990854	0.649964	0.644019
{67, 94}	2	23.748328	1.000000	0.643885	0.643885
{113, 67, 88}	3	7.180439	0.993772	0.647616	0.643583
{21, 6, 88}	3	3.803970	0.892957	0.720710	0.643563
{128, 21, 42}	3	6.283011	0.986397	0.652363	0.643489
{42, 57, 71}	3	14.360809	0.999991	0.643244	0.643239
{23, 57, 9}	3	4.976295	0.958766	0.670733	0.643076
{1, 90, 97}	3	13.456140	0.999979	0.643038	0.643024
{23, 56, 94}	3	10.542753	0.999695	0.642744	0.642548
{23, 9, 94}	3	3.802864	0.892863	0.719314	0.642249
{5, 88, 90}	3	8.471934	0.998018	0.643401	0.642126
{1, 113, 42}	3	5.160717	0.964652	0.665403	0.641883
{26, 42, 90}	3	5.693874	0.977465	0.656264	0.641475
{108, 21, 39}	3	2.970789	0.796446	0.805084	0.641206
{23, 57}	2	25.444453	1.000000	0.641167	0.641167
